iter	Passed	Remaining
0	29	148792
1	55	139205
2	83	139176
3	108	135500
4	134	134570
5	159	132490
6	184	131846
7	209	130943
8	235	130390
9	260	130085
10	281	127889
11	304	126599
12	326	125320
13	348	124218
14	370	123286
15	392	122335
16	415	121744
17	438	121285
18	459	120492
19	480	119739
20	501	119007
21	522	118200
22	543	117533
23	564	116953
24	584	116406
25	605	115919
26	626	115445
27	648	115119
28	668	114550
29	689	114168
30	710	113884
31	731	113580
32	752	113215
33	773	113009
34	797	113186
35	820	113152
36	843	113115
37	867	113212
38	888	112996
39	908	112691
40	929	112403
41	949	112114
42	970	111861
43	991	111664
44	1011	111349
45	1031	111124
46	1051	110848
47	1072	110612
48	1093	110446
49	1113	110251
50	1134	110116
51	1155	109905
52	1175	109764
53	1196	109577
54	1217	109420
55	1239	109393
56	1261	109412
57	1284	109420
58	1304	109245
59	1325	109163
60	1346	109018
61	1368	108980
62	1388	108809
63	1409	108733
64	1430	108613
65	1450	108446
66	1471	108335
67	1491	108185
68	1512	108115
69	1534	108095
70	1555	107993
71	1577	107972
72	1598	107854
73	1618	107723
74	1638	107595
75	1659	107504
76	1680	107429
77	1700	107327
78	1721	107243
79	1743	107218
80	1764	107131
81	1786	107118
82	1806	107023
83	1827	106969
84	1849	106936
85	1869	106840
86	1889	106710
87	1910	106662
88	1932	106619
89	1953	106577
90	1974	106524
91	1995	106453
92	2016	106396
93	2037	106328
94	2058	106271
95	2079	106207
96	2099	106136
97	2122	106149
98	2145	106230
99	2168	106260
100	2190	106252
101	2210	106163
102	2231	106089
103	2251	106011
104	2272	105941
105	2293	105876
106	2314	105844
107	2335	105793
108	2357	105763
109	2377	105696
110	2398	105640
111	2419	105581
112	2440	105566
113	2461	105516
114	2483	105473
115	2505	105486
116	2525	105421
117	2547	105396
118	2567	105326
119	2589	105294
120	2609	105236
121	2631	105226
122	2653	105231
123	2675	105188
124	2696	105146
125	2715	105060
126	2736	104996
127	2758	105011
128	2779	104971
129	2800	104913
130	2820	104839
131	2841	104784
132	2861	104727
133	2883	104703
134	2904	104664
135	2924	104585
136	2945	104540
137	2965	104465
138	2985	104393
139	3006	104380
140	3027	104326
141	3048	104298
142	3070	104304
143	3091	104254
144	3114	104278
145	3135	104244
146	3156	104194
147	3177	104184
148	3200	104197
149	3221	104176
150	3242	104136
151	3264	104112
152	3285	104072
153	3307	104067
154	3329	104083
155	3351	104063
156	3372	104029
157	3393	103990
158	3414	103944
159	3434	103903
160	3456	103877
161	3479	103901
162	3501	103903
163	3521	103841
164	3541	103789
165	3563	103758
166	3584	103722
167	3603	103654
168	3624	103608
169	3644	103555
170	3665	103516
171	3686	103486
172	3706	103421
173	3727	103389
174	3749	103371
175	3769	103322
176	3790	103281
177	3810	103239
178	3832	103223
179	3852	103163
180	3873	103140
181	3895	103113
182	3915	103065
