iter	Accuracy	MultiClass
0	0.7832949034	1.604941374
1	0.7852031486	1.600423112
2	0.785362169	1.595994611
3	0.7873101694	1.591620772
4	0.7916037211	1.587304703
5	0.7916037211	1.582969067
6	0.7917627415	1.578837331
7	0.7924385784	1.574637576
8	0.7928361294	1.570342472
9	0.7936709867	1.566103273
10	0.7938300072	1.561967654
11	0.7944660889	1.557829241
12	0.7939095174	1.553715519
13	0.7937504969	1.549677735
14	0.7935119663	1.545667128
15	0.7936709867	1.541600305
16	0.7939095174	1.537624794
17	0.7933131907	1.533638257
18	0.7939492725	1.529780459
19	0.7939492725	1.525963192
20	0.7934324561	1.522113779
21	0.7930746601	1.518283157
22	0.793034905	1.514444615
23	0.7928758846	1.510722698
24	0.7925578437	1.507000316
25	0.7926373539	1.503327782
26	0.7925975988	1.499566266
27	0.793034905	1.495941562
28	0.7924783335	1.49223797
29	0.793034905	1.48866498
30	0.7927963743	1.485062484
31	0.7920410273	1.48158034
32	0.7923988232	1.478192925
33	0.7926373539	1.474608443
34	0.7928758846	1.470998338
35	0.7924385784	1.467464326
36	0.792319313	1.463955938
37	0.7923590681	1.460552838
38	0.7927168641	1.457059513
39	0.7925578437	1.453650358
40	0.793034905	1.450202378
41	0.7932336805	1.446832356
42	0.7935119663	1.443510941
43	0.7935517214	1.440171512
44	0.7934324561	1.436931937
45	0.7937504969	1.433617976
46	0.7935914765	1.430383836
47	0.7933131907	1.427166778
48	0.7934324561	1.423948633
49	0.7933529459	1.420743377
50	0.7935517214	1.417536568
51	0.7929951499	1.414288607
52	0.7932336805	1.411118448
53	0.793034905	1.407987267
54	0.7929553948	1.40480779
55	0.7934324561	1.401717452
56	0.7936312316	1.398569499
57	0.7939492725	1.395540191
58	0.7934722112	1.392461344
59	0.7934722112	1.389429086
60	0.7939095174	1.38637493
61	0.793790252	1.383399509
62	0.7933529459	1.380429523
63	0.7936312316	1.377470407
64	0.7935914765	1.374545922
65	0.7937107418	1.371697065
66	0.7942275582	1.368817149
67	0.7939890276	1.365968136
68	0.7938697623	1.363119279
69	0.7938697623	1.360276478
70	0.7934722112	1.357498901
71	0.793392701	1.354868541
72	0.7937504969	1.352098262
73	0.7935517214	1.349278289
74	0.7938697623	1.346459093
75	0.7937504969	1.343704188
76	0.7935914765	1.340931891
77	0.7939095174	1.338207734
78	0.7937107418	1.335470222
79	0.793790252	1.332744513
80	0.7936709867	1.330068963
81	0.7936312316	1.327350862
82	0.7937504969	1.324732616
83	0.7936709867	1.322085019
84	0.7939890276	1.319424377
85	0.7936312316	1.316835792
86	0.793790252	1.314225775
87	0.7935119663	1.311619486
88	0.793392701	1.309021428
89	0.7935517214	1.306434861
90	0.7934722112	1.303871433
91	0.7935517214	1.30129993
92	0.7937107418	1.298753584
93	0.7935119663	1.296295523
94	0.7934722112	1.293852602
95	0.793392701	1.291330405
96	0.7935517214	1.288855727
97	0.7936709867	1.286379108
98	0.7941082929	1.283882999
99	0.7941878031	1.281412437
100	0.7939492725	1.278939001
101	0.7941878031	1.276507961
102	0.7939492725	1.274102
103	0.793790252	1.271707609
104	0.793790252	1.269300562
105	0.7939095174	1.266953147
106	0.793790252	1.2645982
107	0.793790252	1.262297684
108	0.7939095174	1.260007339
109	0.7937107418	1.257691759
110	0.7937107418	1.255379285
111	0.7939890276	1.25312924
112	0.794148048	1.250868168
113	0.7939890276	1.248663002
114	0.7939492725	1.2464458
115	0.7938697623	1.244161667
116	0.794148048	1.241900751
117	0.7939492725	1.239662119
118	0.7941082929	1.237436299
119	0.7943865787	1.235184234
