iter	Passed	Remaining
0	68	101943
1	137	102717
2	202	101079
3	268	100542
4	334	99985
5	387	96397
6	441	94116
7	498	92982
8	552	91511
9	604	90059
10	658	89105
11	715	88678
12	771	88204
13	828	87937
14	883	87508
15	936	86850
16	991	86480
17	1046	86170
18	1104	86085
19	1160	85865
20	1214	85569
21	1268	85241
22	1324	85084
23	1383	85087
24	1437	84801
25	1491	84582
26	1546	84354
27	1599	84108
28	1652	83832
29	1706	83600
30	1763	83569
31	1817	83398
32	1871	83193
33	1926	83081
34	1980	82900
35	2032	82644
36	2087	82543
37	2140	82368
38	2196	82286
39	2251	82162
40	2304	82024
41	2360	81958
42	2418	81952
43	2475	81912
44	2530	81810
45	2584	81678
46	2641	81657
47	2700	81702
48	2754	81562
49	2808	81457
50	2863	81353
51	2917	81246
52	2972	81141
53	3026	81038
54	3089	81176
55	3143	81069
56	3197	80953
57	3250	80818
58	3309	80823
59	3364	80741
60	3421	80708
61	3476	80639
62	3532	80574
63	3587	80486
64	3644	80459
65	3701	80427
66	3760	80423
67	3815	80357
68	3870	80273
69	3926	80210
70	3979	80103
71	4030	79940
72	4087	79895
73	4143	79852
74	4197	79754
75	4253	79696
76	4311	79673
77	4367	79615
78	4421	79525
79	4475	79438
80	4530	79359
81	4587	79330
82	4644	79299
83	4702	79264
84	4759	79224
85	4811	79103
86	4863	78997
87	4920	78953
88	4977	78916
89	5031	78819
90	5085	78736
91	5139	78664
92	5192	78560
93	5250	78530
94	5305	78470
95	5359	78386
96	5416	78346
97	5475	78328
98	5535	78330
99	5593	78311
100	5648	78241
101	5706	78216
102	5761	78144
103	5817	78094
104	5872	78014
105	5927	77955
106	5982	77884
107	6037	77819
108	6091	77737
109	6146	77670
110	6200	77590
111	6253	77497
112	6311	77466
113	6363	77362
114	6419	77311
115	6476	77275
116	6537	77272
117	6591	77199
118	6647	77144
119	6701	77066
120	6755	76993
121	6809	76917
122	6862	76822
123	6917	76761
124	6972	76693
125	7026	76619
126	7085	76602
127	7140	76541
128	7195	76468
129	7249	76401
130	7305	76342
131	7359	76271
132	7417	76235
133	7472	76171
134	7526	76101
135	7587	76099
136	7646	76070
137	7702	76019
138	7758	75964
139	7812	75894
140	7869	75851
141	7924	75788
142	7976	75693
143	8033	75644
144	8091	75609
145	8144	75527
146	8201	75485
147	8256	75420
148	8308	75338
149	8363	75271
150	8414	75172
151	8470	75121
152	8523	75041
153	8575	74949
154	8631	74894
155	8685	74827
156	8741	74777
157	8800	74746
158	8854	74681
159	8911	74631
160	8969	74597
161	9026	74554
162	9078	74462
163	9127	74353
164	9183	74301
165	9238	74240
166	9289	74145
167	9341	74066
168	9398	74022
169	9455	73976
170	9507	73892
171	9563	73839
172	9618	73778
173	9673	73718
174	9729	73665
175	9786	73624
176	9846	73599
177	9902	73546
178	9955	73467
179	10012	73423
180	10068	73370
181	10122	73303
182	10181	73276
183	10240	73238
184	10294	73171
185	10350	73122
186	10410	73098
187	10466	73039
188	10527	73023
189	10586	72987
190	10642	72934
191	10695	72864
192	10751	72809
193	10803	72726
194	10861	72689
195	10920	72656
196	10979	72623
197	11030	72537
198	11089	72497
199	11148	72464
200	11204	72409
201	11261	72366
202	11319	72321
203	11372	72249
204	11430	72204
205	11484	72137
206	11540	72086
207	11598	72041
208	11656	72002
209	11714	71963
210	11769	71898
211	11823	71834
212	11881	71792
213	11938	71744
214	11991	71668
215	12047	71617
216	12100	71545
217	12152	71465
218	12207	71407
219	12260	71335
220	12315	71274
221	12373	71231
222	12429	71176
223	12482	71108
224	12536	71042
225	12594	70996
226	12644	70910
