,Application/Permit Number,Category
0,6425384,SINGLE FAMILY / DUPLEX
1,6496502,SINGLE FAMILY / DUPLEX
2,6622347,SINGLE FAMILY / DUPLEX
3,6565685,SINGLE FAMILY / DUPLEX
4,6487370,COMMERCIAL
5,6148690,SINGLE FAMILY / DUPLEX
6,6514495,COMMERCIAL
7,6290301,SINGLE FAMILY / DUPLEX
8,6344618,SINGLE FAMILY / DUPLEX
9,6392210,SINGLE FAMILY / DUPLEX
10,6602989,SINGLE FAMILY / DUPLEX
11,6459685,COMMERCIAL
12,6627767,SINGLE FAMILY / DUPLEX
13,6467611,SINGLE FAMILY / DUPLEX
14,6451132,COMMERCIAL
15,6571051,SINGLE FAMILY / DUPLEX
16,6569367,SINGLE FAMILY / DUPLEX
17,6600447,SINGLE FAMILY / DUPLEX
18,6631447,SINGLE FAMILY / DUPLEX
19,6424332,SINGLE FAMILY / DUPLEX
20,6563713,COMMERCIAL
21,6431888,SINGLE FAMILY / DUPLEX
22,6285983,SINGLE FAMILY / DUPLEX
23,6390555,SINGLE FAMILY / DUPLEX
24,6553262,SINGLE FAMILY / DUPLEX
25,6351942,SINGLE FAMILY / DUPLEX
26,6427095,SINGLE FAMILY / DUPLEX
27,6484079,SINGLE FAMILY / DUPLEX
28,6472263,MULTIFAMILY
29,6439793,SINGLE FAMILY / DUPLEX
30,6623442,SINGLE FAMILY / DUPLEX
31,6580763,SINGLE FAMILY / DUPLEX
32,6091091,SINGLE FAMILY / DUPLEX
33,6498738,SINGLE FAMILY / DUPLEX
34,6368459,SINGLE FAMILY / DUPLEX
35,6547654,SINGLE FAMILY / DUPLEX
36,6406596,SINGLE FAMILY / DUPLEX
37,6456955,SINGLE FAMILY / DUPLEX
38,6465088,SINGLE FAMILY / DUPLEX
39,6561447,SINGLE FAMILY / DUPLEX
40,6393684,SINGLE FAMILY / DUPLEX
41,6495065,COMMERCIAL
42,6582558,SINGLE FAMILY / DUPLEX
43,6473560,INSTITUTIONAL
44,6455762,MULTIFAMILY
45,6164123,SINGLE FAMILY / DUPLEX
46,6392867,SINGLE FAMILY / DUPLEX
47,6298782,SINGLE FAMILY / DUPLEX
48,6506574,SINGLE FAMILY / DUPLEX
49,6454633,SINGLE FAMILY / DUPLEX
50,6457198,SINGLE FAMILY / DUPLEX
51,6066928,SINGLE FAMILY / DUPLEX
52,6453192,SINGLE FAMILY / DUPLEX
53,6609025,SINGLE FAMILY / DUPLEX
54,6541445,SINGLE FAMILY / DUPLEX
55,6561042,SINGLE FAMILY / DUPLEX
56,6465276,SINGLE FAMILY / DUPLEX
57,6596519,MULTIFAMILY
58,6388542,SINGLE FAMILY / DUPLEX
59,6347179,SINGLE FAMILY / DUPLEX
60,6458712,SINGLE FAMILY / DUPLEX
61,6616589,SINGLE FAMILY / DUPLEX
62,6376397,SINGLE FAMILY / DUPLEX
63,6538454,SINGLE FAMILY / DUPLEX
64,6403680,SINGLE FAMILY / DUPLEX
65,6362598,SINGLE FAMILY / DUPLEX
66,6357411,SINGLE FAMILY / DUPLEX
67,6137735,SINGLE FAMILY / DUPLEX
68,6361140,SINGLE FAMILY / DUPLEX
69,6397842,SINGLE FAMILY / DUPLEX
70,6628324,SINGLE FAMILY / DUPLEX
71,6433242,SINGLE FAMILY / DUPLEX
72,6578874,SINGLE FAMILY / DUPLEX
73,6602461,COMMERCIAL
74,6474949,SINGLE FAMILY / DUPLEX
75,6414955,COMMERCIAL
76,6242641,COMMERCIAL
77,6599013,SINGLE FAMILY / DUPLEX
78,6418461,SINGLE FAMILY / DUPLEX
79,6546329,MULTIFAMILY
80,6564638,SINGLE FAMILY / DUPLEX
81,6474950,SINGLE FAMILY / DUPLEX
82,6496881,SINGLE FAMILY / DUPLEX
83,6581177,SINGLE FAMILY / DUPLEX
84,6539453,SINGLE FAMILY / DUPLEX
85,6434865,COMMERCIAL
86,6362508,SINGLE FAMILY / DUPLEX
87,6442296,SINGLE FAMILY / DUPLEX
88,6502877,SINGLE FAMILY / DUPLEX
89,6566181,SINGLE FAMILY / DUPLEX
90,6475216,SINGLE FAMILY / DUPLEX
91,6605973,SINGLE FAMILY / DUPLEX
92,6130676,SINGLE FAMILY / DUPLEX
93,6424298,SINGLE FAMILY / DUPLEX
94,6423476,SINGLE FAMILY / DUPLEX
95,6369864,SINGLE FAMILY / DUPLEX
96,6439959,SINGLE FAMILY / DUPLEX
97,6405942,SINGLE FAMILY / DUPLEX
98,6619258,SINGLE FAMILY / DUPLEX
99,6125826,COMMERCIAL
100,6455202,MULTIFAMILY
101,6588198,SINGLE FAMILY / DUPLEX
102,6617041,SINGLE FAMILY / DUPLEX
103,6363918,SINGLE FAMILY / DUPLEX
104,6470677,SINGLE FAMILY / DUPLEX
105,6473639,SINGLE FAMILY / DUPLEX
106,6618474,SINGLE FAMILY / DUPLEX
107,6547430,SINGLE FAMILY / DUPLEX
108,6536242,MULTIFAMILY
109,6388956,MULTIFAMILY
110,6364117,SINGLE FAMILY / DUPLEX
111,6463475,SINGLE FAMILY / DUPLEX
112,6579747,SINGLE FAMILY / DUPLEX
113,6466223,SINGLE FAMILY / DUPLEX
114,6591895,SINGLE FAMILY / DUPLEX
115,6381934,SINGLE FAMILY / DUPLEX
116,6396979,SINGLE FAMILY / DUPLEX
117,6459051,SINGLE FAMILY / DUPLEX
118,6476866,SINGLE FAMILY / DUPLEX
119,6632589,COMMERCIAL
120,6416455,SINGLE FAMILY / DUPLEX
121,6071602,SINGLE FAMILY / DUPLEX
122,6392290,MULTIFAMILY
123,6525840,SINGLE FAMILY / DUPLEX
124,6586142,COMMERCIAL
125,6571041,SINGLE FAMILY / DUPLEX
126,6323970,COMMERCIAL
127,6427923,SINGLE FAMILY / DUPLEX
128,6471997,SINGLE FAMILY / DUPLEX
129,6518465,SINGLE FAMILY / DUPLEX
130,6607263,SINGLE FAMILY / DUPLEX
131,6398747,SINGLE FAMILY / DUPLEX
132,6539093,SINGLE FAMILY / DUPLEX
133,6511456,SINGLE FAMILY / DUPLEX
134,6472232,SINGLE FAMILY / DUPLEX
135,6452732,SINGLE FAMILY / DUPLEX
136,6559217,COMMERCIAL
137,6432362,SINGLE FAMILY / DUPLEX
138,6480024,COMMERCIAL
139,6617300,SINGLE FAMILY / DUPLEX
140,6547330,MULTIFAMILY
141,6363019,SINGLE FAMILY / DUPLEX
142,6590586,SINGLE FAMILY / DUPLEX
143,6427362,COMMERCIAL
144,6367307,SINGLE FAMILY / DUPLEX
145,6587871,SINGLE FAMILY / DUPLEX
146,6544232,SINGLE FAMILY / DUPLEX
147,6143469,SINGLE FAMILY / DUPLEX
148,6388160,SINGLE FAMILY / DUPLEX
149,6624064,SINGLE FAMILY / DUPLEX
150,6346917,SINGLE FAMILY / DUPLEX
151,6537585,SINGLE FAMILY / DUPLEX
152,6243159,SINGLE FAMILY / DUPLEX
153,6502799,SINGLE FAMILY / DUPLEX
154,6451592,COMMERCIAL
155,6613073,SINGLE FAMILY / DUPLEX
156,6559562,SINGLE FAMILY / DUPLEX
157,6177424,COMMERCIAL
158,6641098,SINGLE FAMILY / DUPLEX
159,6402687,SINGLE FAMILY / DUPLEX
160,6378034,SINGLE FAMILY / DUPLEX
161,6404336,SINGLE FAMILY / DUPLEX
162,6627871,SINGLE FAMILY / DUPLEX
163,6544160,SINGLE FAMILY / DUPLEX
164,6591730,SINGLE FAMILY / DUPLEX
165,6104738,SINGLE FAMILY / DUPLEX
166,6428285,SINGLE FAMILY / DUPLEX
167,6268871,COMMERCIAL
168,6271098,SINGLE FAMILY / DUPLEX
169,6377505,SINGLE FAMILY / DUPLEX
170,6392098,SINGLE FAMILY / DUPLEX
171,6471361,COMMERCIAL
172,6382060,SINGLE FAMILY / DUPLEX
173,6382494,SINGLE FAMILY / DUPLEX
174,6544027,SINGLE FAMILY / DUPLEX
175,6649130,SINGLE FAMILY / DUPLEX
176,6400447,SINGLE FAMILY / DUPLEX
177,6594409,SINGLE FAMILY / DUPLEX
178,6400492,SINGLE FAMILY / DUPLEX
179,6177342,SINGLE FAMILY / DUPLEX
180,6532850,SINGLE FAMILY / DUPLEX
181,6644096,SINGLE FAMILY / DUPLEX
182,6420347,COMMERCIAL
183,6411281,MULTIFAMILY
184,6392110,MULTIFAMILY
185,6076114,SINGLE FAMILY / DUPLEX
186,6584584,MULTIFAMILY
187,6166029,COMMERCIAL
188,6447673,SINGLE FAMILY / DUPLEX
189,6550298,SINGLE FAMILY / DUPLEX
190,6647720,SINGLE FAMILY / DUPLEX
191,6479535,SINGLE FAMILY / DUPLEX
192,6088076,COMMERCIAL
193,6435141,SINGLE FAMILY / DUPLEX
194,6151677,SINGLE FAMILY / DUPLEX
195,6409128,COMMERCIAL
196,6642654,COMMERCIAL
197,6491816,SINGLE FAMILY / DUPLEX
198,6499347,MULTIFAMILY
199,6250024,SINGLE FAMILY / DUPLEX
200,6554599,SINGLE FAMILY / DUPLEX
201,6224808,SINGLE FAMILY / DUPLEX
202,6520708,SINGLE FAMILY / DUPLEX
203,6166869,SINGLE FAMILY / DUPLEX
204,6375139,SINGLE FAMILY / DUPLEX
205,6609204,SINGLE FAMILY / DUPLEX
206,6301794,SINGLE FAMILY / DUPLEX
207,6594877,SINGLE FAMILY / DUPLEX
208,6620065,SINGLE FAMILY / DUPLEX
209,6579422,SINGLE FAMILY / DUPLEX
210,6497269,SINGLE FAMILY / DUPLEX
211,6596870,SINGLE FAMILY / DUPLEX
212,6601987,SINGLE FAMILY / DUPLEX
213,6516651,SINGLE FAMILY / DUPLEX
214,6493808,COMMERCIAL
215,6361968,MULTIFAMILY
216,6478388,SINGLE FAMILY / DUPLEX
217,6348043,SINGLE FAMILY / DUPLEX
218,6381803,SINGLE FAMILY / DUPLEX
219,6566570,SINGLE FAMILY / DUPLEX
220,6570568,SINGLE FAMILY / DUPLEX
221,6089427,SINGLE FAMILY / DUPLEX
222,6613141,SINGLE FAMILY / DUPLEX
223,6639490,SINGLE FAMILY / DUPLEX
224,6380427,SINGLE FAMILY / DUPLEX
225,6597238,SINGLE FAMILY / DUPLEX
226,6591804,SINGLE FAMILY / DUPLEX
227,6620707,SINGLE FAMILY / DUPLEX
228,6442646,SINGLE FAMILY / DUPLEX
229,6137615,SINGLE FAMILY / DUPLEX
230,6438379,SINGLE FAMILY / DUPLEX
231,6194120,SINGLE FAMILY / DUPLEX
232,6467615,MULTIFAMILY
233,6632433,SINGLE FAMILY / DUPLEX
234,6328154,SINGLE FAMILY / DUPLEX
235,6413541,SINGLE FAMILY / DUPLEX
236,6536901,SINGLE FAMILY / DUPLEX
237,6370681,SINGLE FAMILY / DUPLEX
238,6623261,SINGLE FAMILY / DUPLEX
239,6508105,SINGLE FAMILY / DUPLEX
240,6438099,COMMERCIAL
241,6463281,SINGLE FAMILY / DUPLEX
242,6523614,SINGLE FAMILY / DUPLEX
243,6403872,SINGLE FAMILY / DUPLEX
244,6465551,SINGLE FAMILY / DUPLEX
245,6596539,SINGLE FAMILY / DUPLEX
246,6620709,SINGLE FAMILY / DUPLEX
247,6436561,SINGLE FAMILY / DUPLEX
248,6482407,SINGLE FAMILY / DUPLEX
249,6538620,COMMERCIAL
250,6413127,SINGLE FAMILY / DUPLEX
251,6080272,SINGLE FAMILY / DUPLEX
252,6601275,SINGLE FAMILY / DUPLEX
253,6607122,SINGLE FAMILY / DUPLEX
254,6463928,COMMERCIAL
255,6497331,SINGLE FAMILY / DUPLEX
256,6639001,SINGLE FAMILY / DUPLEX
257,6609022,SINGLE FAMILY / DUPLEX
258,6567708,SINGLE FAMILY / DUPLEX
259,6460209,SINGLE FAMILY / DUPLEX
260,6390425,SINGLE FAMILY / DUPLEX
261,6498572,COMMERCIAL
262,6610848,SINGLE FAMILY / DUPLEX
263,6508256,SINGLE FAMILY / DUPLEX
264,6157165,SINGLE FAMILY / DUPLEX
265,6601209,SINGLE FAMILY / DUPLEX
266,6509359,SINGLE FAMILY / DUPLEX
267,6481938,COMMERCIAL
268,6276147,SINGLE FAMILY / DUPLEX
269,6558184,SINGLE FAMILY / DUPLEX
270,6355273,COMMERCIAL
271,6477087,SINGLE FAMILY / DUPLEX
272,6598045,SINGLE FAMILY / DUPLEX
273,6488569,SINGLE FAMILY / DUPLEX
274,6581473,SINGLE FAMILY / DUPLEX
275,6516743,SINGLE FAMILY / DUPLEX
276,6556224,SINGLE FAMILY / DUPLEX
277,6543950,SINGLE FAMILY / DUPLEX
278,6453839,SINGLE FAMILY / DUPLEX
279,6601601,COMMERCIAL
280,6586880,SINGLE FAMILY / DUPLEX
281,6635208,MULTIFAMILY
282,6544591,COMMERCIAL
283,6594010,SINGLE FAMILY / DUPLEX
284,6398394,SINGLE FAMILY / DUPLEX
285,6625301,INSTITUTIONAL
286,6144134,COMMERCIAL
287,6111487,SINGLE FAMILY / DUPLEX
288,6607902,COMMERCIAL
289,6640203,SINGLE FAMILY / DUPLEX
290,6203971,SINGLE FAMILY / DUPLEX
291,6521993,SINGLE FAMILY / DUPLEX
292,6527854,SINGLE FAMILY / DUPLEX
293,6563551,COMMERCIAL
294,6630548,SINGLE FAMILY / DUPLEX
295,6373109,SINGLE FAMILY / DUPLEX
296,6568951,SINGLE FAMILY / DUPLEX
297,6408912,SINGLE FAMILY / DUPLEX
298,6494454,SINGLE FAMILY / DUPLEX
299,6391661,SINGLE FAMILY / DUPLEX
300,6343101,COMMERCIAL
301,6373188,SINGLE FAMILY / DUPLEX
302,6172146,SINGLE FAMILY / DUPLEX
303,6549963,SINGLE FAMILY / DUPLEX
304,6590898,SINGLE FAMILY / DUPLEX
305,6453852,SINGLE FAMILY / DUPLEX
306,6517354,SINGLE FAMILY / DUPLEX
307,6482231,SINGLE FAMILY / DUPLEX
308,6117788,SINGLE FAMILY / DUPLEX
309,6368713,SINGLE FAMILY / DUPLEX
310,6624599,SINGLE FAMILY / DUPLEX
311,6464992,SINGLE FAMILY / DUPLEX
312,6493719,SINGLE FAMILY / DUPLEX
313,6492223,COMMERCIAL
314,6490505,SINGLE FAMILY / DUPLEX
315,6464501,SINGLE FAMILY / DUPLEX
316,6484454,SINGLE FAMILY / DUPLEX
317,6492011,SINGLE FAMILY / DUPLEX
318,6590212,SINGLE FAMILY / DUPLEX
319,6516313,SINGLE FAMILY / DUPLEX
320,6615457,SINGLE FAMILY / DUPLEX
321,6530997,COMMERCIAL
322,6412225,SINGLE FAMILY / DUPLEX
323,6578256,MULTIFAMILY
324,6587730,SINGLE FAMILY / DUPLEX
325,6556462,SINGLE FAMILY / DUPLEX
326,6572136,SINGLE FAMILY / DUPLEX
327,6441023,SINGLE FAMILY / DUPLEX
328,6501273,SINGLE FAMILY / DUPLEX
329,6437740,SINGLE FAMILY / DUPLEX
330,6173003,SINGLE FAMILY / DUPLEX
331,6517058,SINGLE FAMILY / DUPLEX
332,6416555,SINGLE FAMILY / DUPLEX
333,6397686,SINGLE FAMILY / DUPLEX
334,6576437,SINGLE FAMILY / DUPLEX
335,6454527,SINGLE FAMILY / DUPLEX
336,6460620,SINGLE FAMILY / DUPLEX
337,6603465,SINGLE FAMILY / DUPLEX
338,6544411,SINGLE FAMILY / DUPLEX
339,6532695,SINGLE FAMILY / DUPLEX
340,6578785,SINGLE FAMILY / DUPLEX
341,6460244,SINGLE FAMILY / DUPLEX
342,6484724,SINGLE FAMILY / DUPLEX
343,6420564,SINGLE FAMILY / DUPLEX
344,6497784,MULTIFAMILY
345,6585118,COMMERCIAL
346,6609834,SINGLE FAMILY / DUPLEX
347,6528215,SINGLE FAMILY / DUPLEX
348,6579547,SINGLE FAMILY / DUPLEX
349,6494767,MULTIFAMILY
350,6549420,MULTIFAMILY
351,6492709,SINGLE FAMILY / DUPLEX
352,6377286,COMMERCIAL
353,6600732,COMMERCIAL
354,6271930,SINGLE FAMILY / DUPLEX
355,6540464,SINGLE FAMILY / DUPLEX
356,6646141,SINGLE FAMILY / DUPLEX
357,6513023,SINGLE FAMILY / DUPLEX
358,6615703,SINGLE FAMILY / DUPLEX
359,6635500,SINGLE FAMILY / DUPLEX
360,6580544,SINGLE FAMILY / DUPLEX
361,6578369,SINGLE FAMILY / DUPLEX
362,6504862,SINGLE FAMILY / DUPLEX
363,6378327,SINGLE FAMILY / DUPLEX
364,6524418,SINGLE FAMILY / DUPLEX
365,6412018,SINGLE FAMILY / DUPLEX
366,6429870,SINGLE FAMILY / DUPLEX
367,6618761,SINGLE FAMILY / DUPLEX
368,6417128,SINGLE FAMILY / DUPLEX
369,6459105,SINGLE FAMILY / DUPLEX
370,6461405,SINGLE FAMILY / DUPLEX
371,6615700,SINGLE FAMILY / DUPLEX
372,6409659,SINGLE FAMILY / DUPLEX
373,6397396,SINGLE FAMILY / DUPLEX
374,6449139,SINGLE FAMILY / DUPLEX
375,6286004,SINGLE FAMILY / DUPLEX
376,6507119,SINGLE FAMILY / DUPLEX
377,6605070,SINGLE FAMILY / DUPLEX
378,6439526,COMMERCIAL
379,6621731,SINGLE FAMILY / DUPLEX
380,6099584,SINGLE FAMILY / DUPLEX
381,6476407,SINGLE FAMILY / DUPLEX
382,6518943,SINGLE FAMILY / DUPLEX
383,6401923,SINGLE FAMILY / DUPLEX
384,6366707,SINGLE FAMILY / DUPLEX
385,6463642,SINGLE FAMILY / DUPLEX
386,6432980,SINGLE FAMILY / DUPLEX
387,6095997,MULTIFAMILY
388,6595155,SINGLE FAMILY / DUPLEX
389,6477165,SINGLE FAMILY / DUPLEX
390,6156844,SINGLE FAMILY / DUPLEX
391,6207150,SINGLE FAMILY / DUPLEX
392,6586463,MULTIFAMILY
393,6587729,SINGLE FAMILY / DUPLEX
394,6571700,SINGLE FAMILY / DUPLEX
395,6363126,SINGLE FAMILY / DUPLEX
396,6521063,COMMERCIAL
397,6611736,SINGLE FAMILY / DUPLEX
398,6573774,SINGLE FAMILY / DUPLEX
399,6066005,SINGLE FAMILY / DUPLEX
400,6489705,SINGLE FAMILY / DUPLEX
401,6478831,SINGLE FAMILY / DUPLEX
402,6456376,SINGLE FAMILY / DUPLEX
403,6354215,SINGLE FAMILY / DUPLEX
404,6561417,SINGLE FAMILY / DUPLEX
405,6383149,SINGLE FAMILY / DUPLEX
406,6539144,SINGLE FAMILY / DUPLEX
407,6595661,SINGLE FAMILY / DUPLEX
408,6497833,SINGLE FAMILY / DUPLEX
409,6640864,SINGLE FAMILY / DUPLEX
410,6533833,SINGLE FAMILY / DUPLEX
411,6582107,SINGLE FAMILY / DUPLEX
412,6424470,SINGLE FAMILY / DUPLEX
413,6483014,SINGLE FAMILY / DUPLEX
414,6364393,SINGLE FAMILY / DUPLEX
415,6562258,SINGLE FAMILY / DUPLEX
416,6076713,MULTIFAMILY
417,6496685,SINGLE FAMILY / DUPLEX
418,6432475,SINGLE FAMILY / DUPLEX
419,6522308,SINGLE FAMILY / DUPLEX
420,6639469,SINGLE FAMILY / DUPLEX
421,6454878,SINGLE FAMILY / DUPLEX
422,6576992,SINGLE FAMILY / DUPLEX
423,6412214,SINGLE FAMILY / DUPLEX
424,6359198,SINGLE FAMILY / DUPLEX
425,6427769,SINGLE FAMILY / DUPLEX
426,6392065,SINGLE FAMILY / DUPLEX
427,6557934,INSTITUTIONAL
428,6479405,SINGLE FAMILY / DUPLEX
429,6510728,SINGLE FAMILY / DUPLEX
430,6372355,SINGLE FAMILY / DUPLEX
431,6470534,SINGLE FAMILY / DUPLEX
432,6553201,COMMERCIAL
433,6582124,SINGLE FAMILY / DUPLEX
434,6477545,SINGLE FAMILY / DUPLEX
435,6085955,SINGLE FAMILY / DUPLEX
436,6309308,SINGLE FAMILY / DUPLEX
437,6395486,SINGLE FAMILY / DUPLEX
438,6450451,SINGLE FAMILY / DUPLEX
439,6242843,SINGLE FAMILY / DUPLEX
440,6193632,COMMERCIAL
441,6467231,COMMERCIAL
442,6555572,MULTIFAMILY
443,6495373,SINGLE FAMILY / DUPLEX
444,6558519,SINGLE FAMILY / DUPLEX
445,6362597,SINGLE FAMILY / DUPLEX
446,6419334,SINGLE FAMILY / DUPLEX
447,6454312,SINGLE FAMILY / DUPLEX
448,6467648,SINGLE FAMILY / DUPLEX
449,6479784,SINGLE FAMILY / DUPLEX
450,6384592,SINGLE FAMILY / DUPLEX
451,6464919,SINGLE FAMILY / DUPLEX
452,6576948,MULTIFAMILY
453,6650230,SINGLE FAMILY / DUPLEX
454,6392819,SINGLE FAMILY / DUPLEX
455,6357559,SINGLE FAMILY / DUPLEX
456,6484482,COMMERCIAL
457,6385286,SINGLE FAMILY / DUPLEX
458,6368594,SINGLE FAMILY / DUPLEX
459,6588908,SINGLE FAMILY / DUPLEX
460,6172782,SINGLE FAMILY / DUPLEX
461,6461470,SINGLE FAMILY / DUPLEX
462,6629987,SINGLE FAMILY / DUPLEX
463,6552216,SINGLE FAMILY / DUPLEX
464,6588402,SINGLE FAMILY / DUPLEX
465,6594772,SINGLE FAMILY / DUPLEX
466,6462499,SINGLE FAMILY / DUPLEX
467,6567831,SINGLE FAMILY / DUPLEX
468,6572585,SINGLE FAMILY / DUPLEX
469,6275707,SINGLE FAMILY / DUPLEX
470,6599517,SINGLE FAMILY / DUPLEX
471,6336197,COMMERCIAL
472,6520561,SINGLE FAMILY / DUPLEX
473,6483199,SINGLE FAMILY / DUPLEX
474,6485904,SINGLE FAMILY / DUPLEX
475,6577216,SINGLE FAMILY / DUPLEX
476,6619945,SINGLE FAMILY / DUPLEX
477,6416118,SINGLE FAMILY / DUPLEX
478,6462201,INSTITUTIONAL
479,6453281,SINGLE FAMILY / DUPLEX
480,6589464,SINGLE FAMILY / DUPLEX
481,6317720,INSTITUTIONAL
482,6373861,SINGLE FAMILY / DUPLEX
483,6423324,SINGLE FAMILY / DUPLEX
484,6201406,MULTIFAMILY
485,6561442,SINGLE FAMILY / DUPLEX
486,6598669,SINGLE FAMILY / DUPLEX
487,6530967,SINGLE FAMILY / DUPLEX
488,6394337,SINGLE FAMILY / DUPLEX
489,6558991,SINGLE FAMILY / DUPLEX
490,6389859,SINGLE FAMILY / DUPLEX
491,6368870,SINGLE FAMILY / DUPLEX
492,6609147,SINGLE FAMILY / DUPLEX
493,6365579,SINGLE FAMILY / DUPLEX
494,6478865,SINGLE FAMILY / DUPLEX
495,6454920,SINGLE FAMILY / DUPLEX
496,6151392,SINGLE FAMILY / DUPLEX
497,6470754,SINGLE FAMILY / DUPLEX
498,6546817,SINGLE FAMILY / DUPLEX
499,6405359,COMMERCIAL
500,6356524,MULTIFAMILY
501,6650063,SINGLE FAMILY / DUPLEX
502,6501397,SINGLE FAMILY / DUPLEX
503,6520345,SINGLE FAMILY / DUPLEX
504,6516025,SINGLE FAMILY / DUPLEX
505,6465813,SINGLE FAMILY / DUPLEX
506,6334430,SINGLE FAMILY / DUPLEX
