,DecisionTreeRegressor,Actual,Predicted,Score,Mean_Absolute_Error,Mean_Squared_Error
0,1,77.45199585,77.99742889,0.9803106739582668,0.551796414861421,1.1802640936933835
1,1,62.04476547,62.03654861, , , 
2,1,78.91575623,78.07484436, , , 
3,1,67.47278213999999,66.10953522, , , 
4,1,79.33970642,78.86174774, , , 
5,1,79.07378387,78.81610107, , , 
6,1,75.2859726,75.61965179, , , 
7,1,80.87806702,80.47070313, , , 
8,1,79.69644928,79.96248627, , , 
9,1,80.19212341,80.74546051, , , 
10,1,74.01112366,74.72768402, , , 
11,1,76.26467133,76.02065277, , , 
12,1,80.51900482,79.1961441, , , 
13,1,76.0241394,76.75467682, , , 
14,1,77.09453583,77.13420868, , , 
15,1,75.72187042,75.93579865, , , 
16,1,79.125,79.5655899, , , 
17,1,80.70449066,77.87263489, , , 
18,1,80.0918045,79.70171356, , , 
19,1,10.19598339,10.20801643, , , 
20,1,79.50205231,80.20230865, , , 
21,1,78.22916412,79.07709503, , , 
22,1,80.41082001,80.28831482, , , 
23,1,76.35746765,75.81977081, , , 
24,1,81.73607635,81.28179932, , , 
25,1,77.38345337,78.41803741, , , 
26,1,80.58397675,80.40467834, , , 
27,1,10.19288737,10.19483384, , , 
28,1,78.0504837,79.70162201, , , 
29,1,79.72341919,79.36197662, , , 
30,1,84.84107971,84.95970154, , , 
31,1,79.19963074,78.27968597, , , 
32,1,78.05568695,77.91628265, , , 
33,1,80.91059113,81.42800903, , , 
34,1,10.19700277,10.20811486, , , 
35,1,79.39517975,79.16119385, , , 
36,1,79.69274139,79.81843567, , , 
37,1,61.40447235,60.19283295, , , 
38,1,82.19265747,82.29084015, , , 
39,1,79.39811707,79.60114288, , , 
40,1,77.55339813,77.36754608, , , 
41,1,79.64574432,79.04187775, , , 
42,1,87.90638733,88.12464905, , , 
43,1,76.32428741,75.44177246, , , 
44,1,77.8948288,77.38709259, , , 
45,1,76.67732239,76.58465576, , , 
46,1,85.70859528,85.70522308, , , 
47,1,77.29079437,77.38898468, , , 
