iter	Accuracy	MultiClass
0	0.6915816327	1.943246107
1	0.7028061224	1.940566373
2	0.7017006803	1.937898099
3	0.7023809524	1.935227831
4	0.7027210884	1.932607721
5	0.7038265306	1.929946754
6	0.706122449	1.927295088
7	0.7053571429	1.924678465
8	0.7051020408	1.922084263
9	0.7054421769	1.919495376
10	0.7051020408	1.916925423
11	0.7041666667	1.914374236
12	0.7048469388	1.911861248
13	0.7058673469	1.909321688
14	0.7039115646	1.906897554
15	0.7056122449	1.904417783
16	0.706377551	1.90196226
17	0.7048469388	1.899501422
18	0.7068027211	1.897058521
19	0.7052721088	1.894617281
20	0.706377551	1.892153951
21	0.7074829932	1.889707895
22	0.7072278912	1.887347537
23	0.7071428571	1.884911777
24	0.7075680272	1.882552083
25	0.7073979592	1.880176612
26	0.7070578231	1.877782041
27	0.7075680272	1.875396936
28	0.7068027211	1.873014821
29	0.7066326531	1.870678213
30	0.7068027211	1.868285468
31	0.7088435374	1.865976596
32	0.7082482993	1.863707915
33	0.7073979592	1.861467966
34	0.7079931973	1.859129531
35	0.7073979592	1.85686849
36	0.7070578231	1.854613593
37	0.7073129252	1.852304222
38	0.7067176871	1.85005215
39	0.706292517	1.847828145
40	0.706037415	1.845586203
41	0.7066326531	1.843316194
42	0.706122449	1.841074252
43	0.7067176871	1.838919669
44	0.706377551	1.836688357
45	0.706207483	1.83447714
46	0.706037415	1.832270242
47	0.7068877551	1.830091079
48	0.7070578231	1.827993629
49	0.7074829932	1.825818618
50	0.706547619	1.82361936
51	0.706377551	1.821439201
52	0.7058673469	1.819278805
53	0.705952381	1.81716292
54	0.706037415	1.815013818
55	0.7056122449	1.812875345
56	0.705952381	1.810739032
57	0.7057823129	1.808636267
58	0.7056972789	1.806570372
59	0.7056122449	1.80448023
60	0.7056972789	1.802383776
61	0.7053571429	1.800341133
62	0.7053571429	1.798268595
63	0.7051870748	1.796205855
64	0.7048469388	1.794200082
65	0.7049319728	1.792200787
66	0.7051870748	1.790164454
67	0.7053571429	1.788111182
68	0.7052721088	1.786106572
69	0.7049319728	1.784077547
70	0.7048469388	1.782058321
71	0.7052721088	1.780014017
72	0.7048469388	1.778001767
73	0.7047619048	1.775991012
74	0.7051020408	1.774038385
75	0.7056122449	1.772079613
76	0.705952381	1.770170002
77	0.7058673469	1.768187314
78	0.7056972789	1.766216418
79	0.706292517	1.764268774
80	0.7068027211	1.762307843
81	0.7058673469	1.760376475
82	0.706037415	1.758512868
83	0.705952381	1.756563729
84	0.7067176871	1.754617247
85	0.706292517	1.75269136
86	0.706292517	1.750786232
87	0.7058673469	1.748924619
88	0.7054421769	1.747037428
89	0.7054421769	1.745133962
90	0.705952381	1.743250591
91	0.7055272109	1.741376853
92	0.7056122449	1.739526367
93	0.7054421769	1.737662594
94	0.7055272109	1.735797659
95	0.706037415	1.734000817
96	0.706037415	1.732178399
97	0.7058673469	1.730332895
98	0.7056972789	1.728500512
99	0.706122449	1.726681747
100	0.706122449	1.724839399
101	0.7066326531	1.723028606
102	0.7071428571	1.721214492
103	0.7077380952	1.719409512
104	0.7074829932	1.717586927
105	0.7077380952	1.715769159
106	0.7076530612	1.714021644
107	0.7076530612	1.712301366
108	0.7078231293	1.710518143
109	0.7083333333	1.708776939
110	0.7077380952	1.707014642
111	0.7080782313	1.705236401
112	0.7085034014	1.70350101
113	0.7083333333	1.70176512
114	0.7082482993	1.700031223
115	0.7081632653	1.698354791
116	0.7080782313	1.696682179
117	0.7078231293	1.694952268
118	0.7077380952	1.693233983
119	0.7077380952	1.691524999
120	0.7073129252	1.689826145
121	0.7072278912	1.688199039
122	0.7076530612	1.686498857
123	0.7081632653	1.684831726
124	0.7078231293	1.683210931
125	0.7080782313	1.681557584
126	0.7076530612	1.679897594
127	0.7082482993	1.678250558
128	0.7083333333	1.676613155
129	0.7084183673	1.674958479
130	0.7084183673	1.673325893
131	0.7085034014	1.671698953
132	0.7085034014	1.670082975
133	0.7084183673	1.668464837
134	0.7085884354	1.666827268
135	0.7088435374	1.665185215
136	0.7085884354	1.663553625
137	0.7087585034	1.661939971
138	0.7089285714	1.66032665
139	0.7087585034	1.658740068
140	0.7088435374	1.65714485
141	0.7085884354	1.655560095
142	0.7089285714	1.653977665
143	0.7088435374	1.652435593
144	0.7088435374	1.650830576
145	0.7089285714	1.64925562
146	0.7090986395	1.647658575
147	0.7094387755	1.646144571
148	0.7094387755	1.644574431
149	0.7096088435	1.643019405
150	0.7097789116	1.641491782
151	0.7097789116	1.639958845
152	0.7097789116	1.638420095
153	0.7098639456	1.63688533
154	0.7098639456	1.635345085
155	0.7097789116	1.633831912
156	0.7097789116	1.632339498
157	0.7096088435	1.630838781
158	0.7096088435	1.629311324
159	0.7100340136	1.627782373
160	0.7099489796	1.62629926
161	0.7100340136	1.624772634
162	0.7098639456	1.62328869
163	0.7099489796	1.621852081
164	0.7100340136	1.620355681
165	0.7100340136	1.618865261
166	0.7100340136	1.617372681
167	0.7100340136	1.615883424
168	0.7100340136	1.61444233
169	0.7100340136	1.612982967
170	0.7099489796	1.611527756
171	0.7103741497	1.610061915
172	0.7101190476	1.608584117
173	0.7099489796	1.607122429
174	0.7099489796	1.605662402
175	0.7101190476	1.604210678
176	0.7097789116	1.602782539
177	0.7099489796	1.601334968
178	0.7096938776	1.59991862
179	0.7100340136	1.59851041
180	0.7102891156	1.597095059
181	0.7100340136	1.595675721
182	0.7098639456	1.594257215
183	0.7100340136	1.592853157
184	0.7101190476	1.591430498
185	0.7100340136	1.590024779
186	0.7098639456	1.588626535
187	0.7099489796	1.587213841
188	0.7099489796	1.585839179
189	0.7099489796	1.584481957
190	0.7101190476	1.583127724
191	0.7104591837	1.581746751
192	0.7103741497	1.580361793
193	0.7101190476	1.578967368
194	0.7102040816	1.577581912
195	0.7103741497	1.576224523
196	0.7102040816	1.5748864
197	0.7102891156	1.573529011
198	0.7103741497	1.572205005
199	0.7104591837	1.570830344
200	0.7105442177	1.569527098
201	0.7103741497	1.568173695
202	0.7104591837	1.566823282
203	0.7104591837	1.565487484
204	0.7104591837	1.564130095
205	0.7105442177	1.562867207
206	0.7105442177	1.561529084
207	0.7103741497	1.560236135
208	0.7105442177	1.558958632
209	0.7104591837	1.557649407
