iter	Accuracy	MultiClass
0	0.485708521	1.757106904
1	0.4987126241	1.647007922
2	0.5018283951	1.571323368
3	0.5123095273	1.51250058
4	0.5183946548	1.465745044
5	0.5233173944	1.429232382
6	0.5270152521	1.397335793
7	0.5329825338	1.37165847
8	0.5368571602	1.349003288
9	0.5389551722	1.329913723
10	0.5407817818	1.314414882
11	0.5440475383	1.298711263
12	0.5481792827	1.284273592
13	0.5531252344	1.272101998
14	0.5560963764	1.262543322
15	0.5569230824	1.252835776
16	0.5598781546	1.242347167
17	0.5620440172	1.233715856
18	0.5636135087	1.225990038
19	0.5654276195	1.219489214
20	0.5677631086	1.211321698
21	0.5706842554	1.202944381
22	0.5715466723	1.197843534
23	0.5735500505	1.191302647
24	0.5747052963	1.187583028
25	0.576496195	1.181057987
26	0.5781424648	1.175694442
27	0.5797512383	1.168886728
28	0.5814028647	1.163734435
29	0.5829634285	1.15854431
30	0.583850843	1.154447718
31	0.5851471465	1.150267206
32	0.5860238477	1.146584191
33	0.5876933296	1.141236158
34	0.5887200163	1.137248596
35	0.5895145825	1.133649724
36	0.5905984066	1.129563176
37	0.5920821921	1.125597487
38	0.5926607077	1.122981556
39	0.5937213197	1.118491364
40	0.5951693944	1.112782205
41	0.5968174497	1.108930009
42	0.5983494449	1.104933631
43	0.5990654473	1.102703712
44	0.5994779075	1.100562848
45	0.6004617412	1.096699939
46	0.6013277291	1.092547103
47	0.6024651194	1.088419934
48	0.6039346206	1.083727975
49	0.6053541266	1.079614756
50	0.6060469169	1.07754442
51	0.6070396783	1.073684859
52	0.6080449385	1.070570316
53	0.6090216301	1.068089751
54	0.6099947505	1.06478594
55	0.6111267842	1.06105014
56	0.6122034661	1.057805587
57	0.6141872034	1.052752168
58	0.6153495913	1.049109215
59	0.6165405479	1.046250897
60	0.6177600731	1.042565538
61	0.6192027912	1.039221664
62	0.6197866634	1.036776588
63	0.6209919044	1.033154504
64	0.6218953887	1.030861421
65	0.6233041814	1.026548221
66	0.6246540512	1.0231423
67	0.6258110825	1.019913035
68	0.6267467066	1.017482131
69	0.6282662029	1.013850673
70	0.6294232342	1.010181719
71	0.6306141908	1.007239704
72	0.6313373353	1.00526601
73	0.632087263	1.002347541
74	0.6327336293	0.9994240511
75	0.6335014124	0.9967881445
76	0.634672728	0.9943343633
77	0.6355119328	0.9917405286
78	0.6358779689	0.9896397267
79	0.6372331954	0.9866547467
80	0.6384616483	0.98412229
81	0.6396543905	0.9806786488
82	0.6406757206	0.9783361292
83	0.6416399133	0.9753861904
84	0.6424934024	0.9734507744
85	0.6438147036	0.9709916365
86	0.644487853	0.9689912714
87	0.645127077	0.9666853553
88	0.645548465	0.9653617107
89	0.6466912119	0.9623145715
90	0.6477571806	0.9598755209
91	0.6486463805	0.9576794157
92	0.649619501	0.9554222673
93	0.6506711853	0.9532468075
94	0.6515443154	0.9514703046
95	0.6522799587	0.9494784208
96	0.6532512936	0.9467637272
97	0.6544493924	0.94357062
