iter	Passed	Remaining
0	64	64481
1	120	59983
2	172	57257
3	225	56227
4	281	56037
5	335	55501
6	383	54371
7	432	53685
8	483	53241
9	535	53012
10	581	52319
11	633	52169
12	685	52063
13	733	51690
14	777	51053
15	828	50957
16	882	51043
17	935	51048
18	989	51107
19	1040	50961
20	1089	50786
21	1139	50650
22	1189	50523
23	1239	50396
24	1285	50120
25	1344	50364
26	1390	50123
27	1443	50112
28	1494	50038
29	1550	50147
30	1599	50005
31	1648	49867
32	1698	49777
33	1750	49739
34	1806	49807
35	1855	49690
36	1908	49674
37	1964	49731
38	2009	49508
39	2073	49764
40	2134	49927
41	2185	49846
42	2232	49684
43	2282	49589
44	2328	49415
45	2382	49415
46	2433	49347
47	2487	49331
48	2540	49305
49	2598	49378
50	2644	49207
51	2697	49183
52	2745	49050
53	2793	48946
54	2847	48920
55	2898	48855
56	2952	48843
57	3011	48912
58	3064	48878
59	3120	48881
60	3176	48903
61	3230	48874
62	3282	48822
63	3333	48745
64	3381	48639
65	3435	48623
66	3492	48633
67	3549	48644
68	3603	48615
69	3659	48620
70	3714	48608
71	3767	48561
72	3819	48501
73	3870	48437
74	3919	48339
75	3971	48279
76	4025	48253
77	4079	48224
78	4126	48112
79	4184	48123
80	4239	48102
81	4289	48023
82	4344	48000
83	4402	48012
84	4454	47949
85	4507	47901
86	4552	47777
87	4607	47753
88	4656	47662
89	4713	47655
90	4768	47633
91	4821	47581
92	4874	47539
93	4922	47446
94	4970	47347
95	5030	47369
96	5088	47371
97	5148	47383
98	5197	47304
99	5261	47349
100	5316	47322
101	5372	47303
102	5418	47184
103	5481	47222
104	5528	47125
105	5583	47093
106	5631	47001
107	5687	46971
108	5733	46868
109	5788	46832
110	5841	46784
111	5899	46775
112	5948	46690
113	6009	46703
114	6063	46663
115	6116	46611
116	6170	46567
117	6226	46538
118	6275	46462
119	6330	46424
120	6379	46341
121	6435	46318
122	6484	46235
123	6539	46195
124	6588	46121
125	6640	46060
126	6691	46000
127	6749	45983
128	6799	45909
129	6841	45787
130	6891	45716
131	6943	45659
132	7001	45642
133	7058	45618
134	7113	45579
135	7170	45550
136	7222	45496
137	7272	45426
138	7326	45380
139	7375	45308
140	7428	45252
141	7480	45198
142	7534	45155
143	7591	45125
144	7647	45093
145	7699	45036
146	7747	44958
147	7815	44990
148	7867	44934
149	7921	44890
150	7977	44854
151	8029	44794
152	8085	44759
153	8141	44724
154	8191	44658
155	8242	44591
156	8300	44566
157	8346	44480
158	8401	44440
159	8455	44390
160	8506	44326
161	8565	44310
162	8616	44247
163	8665	44175
164	8716	44109
165	8774	44082
166	8835	44069
167	8888	44017
168	8944	43979
169	9002	43953
170	9057	43912
171	9118	43895
172	9168	43829
173	9223	43784
174	9272	43712
175	9325	43660
176	9372	43580
177	9417	43487
178	9468	43425
179	9515	43348
180	9571	43309
181	9627	43269
182	9677	43205
183	9728	43143
184	9784	43105
185	9838	43058
186	9890	43000
187	9947	42964
188	10002	42920
189	10061	42892
190	10119	42862
191	10181	42845
192	10236	42802
193	10293	42764
194	10346	42713
